artist_name,song_title,country_of_origin,spotify_link
Black Thought,Aquamarine,United States,https://open.spotify.com/search/Black%20Thought%20Aquamarine
Black Thought,Sometimes,United States,https://open.spotify.com/search/Black%20Thought%20Sometimes
Oddisee,Counter-Clockwise,United States,https://open.spotify.com/search/Oddisee%20Counter-Clockwise
Oddisee,Belong to the World,United States,https://open.spotify.com/search/Oddisee%20Belong%20to%20the%20World
Phonte,The Good Fight,United States,https://open.spotify.com/search/Phonte%20The%20Good%20Fight
Phonte,Expensive Genes,United States,https://open.spotify.com/search/Phonte%20Expensive%20Genes
billy woods,Soft Landing,United States,https://open.spotify.com/search/billy%20woods%20Soft%20Landing
billy woods,FaceTime,United States,https://open.spotify.com/search/billy%20woods%20FaceTime
ELUCID,Instant Transfer,United States,https://open.spotify.com/search/ELUCID%20Instant%20Transfer
ELUCID,The World Is Dog,United States,https://open.spotify.com/search/ELUCID%20The%20World%20Is%20Dog
Armand Hammer,Stonefruit,United States,https://open.spotify.com/search/Armand%20Hammer%20Stonefruit
Armand Hammer,Doves,United States,https://open.spotify.com/search/Armand%20Hammer%20Doves
Open Mike Eagle,Multi-Game Arcade Cabinet,United States,https://open.spotify.com/search/Open%20Mike%20Eagle%20Multi-Game%20Arcade%20Cabinet
Open Mike Eagle,Microfiche,United States,https://open.spotify.com/search/Open%20Mike%20Eagle%20Microfiche
R.A.P. Ferreira,LEAVING HELL,United States,https://open.spotify.com/search/R.A.P.%20Ferreira%20LEAVING%20HELL
R.A.P. Ferreira,NONCIPHER,United States,https://open.spotify.com/search/R.A.P.%20Ferreira%20NONCIPHER
Quelle Chris,Alive Ain't Always Living,United States,https://open.spotify.com/search/Quelle%20Chris%20Alive%20Ain%27t%20Always%20Living
Quelle Chris,Graphic Bleed Outs,United States,https://open.spotify.com/search/Quelle%20Chris%20Graphic%20Bleed%20Outs
Mick Jenkins,Spread Love,United States,https://open.spotify.com/search/Mick%20Jenkins%20Spread%20Love
Mick Jenkins,Carefree,United States,https://open.spotify.com/search/Mick%20Jenkins%20Carefree
Saba,LIFE,United States,https://open.spotify.com/search/Saba%20LIFE
Saba,Heaven All Around Me,United States,https://open.spotify.com/search/Saba%20Heaven%20All%20Around%20Me
Blu,The Narrow Path,United States,https://open.spotify.com/search/Blu%20The%20Narrow%20Path
Blu,Amnesia,United States,https://open.spotify.com/search/Blu%20Amnesia
