artist_name,song_title,country_of_origin,spotify_link
Atmosphere,GodLovesUgly,United States,https://open.spotify.com/search/Atmosphere%20GodLovesUgly
Atmosphere,The Best Day,United States,https://open.spotify.com/search/Atmosphere%20The%20Best%20Day
Brother Ali,Own Light (What Hearts Are For),United States,https://open.spotify.com/search/Brother%20Ali%20Own%20Light%20What%20Hearts%20Are%20For
Brother Ali,Mourning in America,United States,https://open.spotify.com/search/Brother%20Ali%20Mourning%20in%20America
P.O.S,Optimist (We Are Not for Them),United States,https://open.spotify.com/search/P.O.S%20Optimist%20We%20Are%20Not%20for%20Them
P.O.S,Drumroll (We're All Thirsty),United States,https://open.spotify.com/search/P.O.S%20Drumroll%20We%27re%20All%20Thirsty
Blueprint,Great Eyedeas Never Die,United States,https://open.spotify.com/search/Blueprint%20Great%20Eyedeas%20Never%20Die
Blueprint,Respect the Architect,United States,https://open.spotify.com/search/Blueprint%20Respect%20the%20Architect
Illogic,1000 Whispers,United States,https://open.spotify.com/search/Illogic%201000%20Whispers
Illogic,Time Capsule,United States,https://open.spotify.com/search/Illogic%20Time%20Capsule
Stik Figa,The City Under the City,United States,https://open.spotify.com/search/Stik%20Figa%20The%20City%20Under%20the%20City
Stik Figa,Down Payment,United States,https://open.spotify.com/search/Stik%20Figa%20Down%20Payment
XV,The Kick,United States,https://open.spotify.com/search/XV%20The%20Kick
XV,Smallville,United States,https://open.spotify.com/search/XV%20Smallville
CES Cru,When Worlds Collide,United States,https://open.spotify.com/search/CES%20Cru%20When%20Worlds%20Collide
CES Cru,Sound Bite,United States,https://open.spotify.com/search/CES%20Cru%20Sound%20Bite
Tech N9ne,Caribou Lou,United States,https://open.spotify.com/search/Tech%20N9ne%20Caribou%20Lou
Tech N9ne,Red Kingdom,United States,https://open.spotify.com/search/Tech%20N9ne%20Red%20Kingdom
Mac Lethal,Puzzle Pieces,United States,https://open.spotify.com/search/Mac%20Lethal%20Puzzle%20Pieces
Mac Lethal,Black Bumble Bee,United States,https://open.spotify.com/search/Mac%20Lethal%20Black%20Bumble%20Bee
Blu,The Narrow Path,United States,https://open.spotify.com/search/Blu%20The%20Narrow%20Path
Blu,Amnesia,United States,https://open.spotify.com/search/Blu%20Amnesia
People Under The Stairs,Acid Raindrops,United States,https://open.spotify.com/search/People%20Under%20The%20Stairs%20Acid%20Raindrops
People Under The Stairs,The Wiz,United States,https://open.spotify.com/search/People%20Under%20The%20Stairs%20The%20Wiz
Murs,Yesterday & Today,United States,https://open.spotify.com/search/Murs%20Yesterday%20%26%20Today
Murs,Varsity Blues 2,United States,https://open.spotify.com/search/Murs%20Varsity%20Blues%202
Ka,Day 13,United States,https://open.spotify.com/search/Ka%20Day%2013
Ka,That Cold and Lonely,United States,https://open.spotify.com/search/Ka%20That%20Cold%20and%20Lonely
Skyzoo,The Scrimmage,United States,https://open.spotify.com/search/Skyzoo%20The%20Scrimmage
Skyzoo,Baker's Dozen,United States,https://open.spotify.com/search/Skyzoo%20Baker%27s%20Dozen
Homeboy Sandman,"America, The Beautiful",United States,https://open.spotify.com/search/Homeboy%20Sandman%20America%20The%20Beautiful
Homeboy Sandman,Stroll,United States,https://open.spotify.com/search/Homeboy%20Sandman%20Stroll
