artist_name,song_title,country_of_origin,spotify_link
Apoc,Piso,Philippines,https://open.spotify.com/search/Apoc%20Piso
Apoc,Halik,Philippines,https://open.spotify.com/search/Apoc%20Halik
Apoc,Lason,Philippines,https://open.spotify.com/search/Apoc%20Lason
Batas,Pakyu,Philippines,https://open.spotify.com/search/Batas%20Pakyu
Batas,Anting-Anting,Philippines,https://open.spotify.com/search/Batas%20Anting-Anting
Batas,Matira Matibay,Philippines,https://open.spotify.com/search/Batas%20Matira%20Matibay
Dello,Isang Araw Lang,Philippines,https://open.spotify.com/search/Dello%20Isang%20Araw%20Lang
Dello,Hayop Ka,Philippines,https://open.spotify.com/search/Dello%20Hayop%20Ka
Dello,Handa Na Ba Kayo,Philippines,https://open.spotify.com/search/Dello%20Handa%20Na%20Ba%20Kayo
Mhot,Karugtong,Philippines,https://open.spotify.com/search/Mhot%20Karugtong
Mhot,Tila Tala,Philippines,https://open.spotify.com/search/Mhot%20Tila%20Tala
Mhot,Alon,Philippines,https://open.spotify.com/search/Mhot%20Alon
Omar Baliw,K&B,Philippines,https://open.spotify.com/search/Omar%20Baliw%20K%26B
Omar Baliw,Klasiko,Philippines,https://open.spotify.com/search/Omar%20Baliw%20Klasiko
Omar Baliw,Sunugan,Philippines,https://open.spotify.com/search/Omar%20Baliw%20Sunugan
Flict-G,Hari ng Tugma,Philippines,https://open.spotify.com/search/Flict-G%20Hari%20ng%20Tugma
Flict-G,Paglaya,Philippines,https://open.spotify.com/search/Flict-G%20Paglaya
Flict-G,Shot Puno,Philippines,https://open.spotify.com/search/Flict-G%20Shot%20Puno
Skarm,Kalaban,Philippines,https://open.spotify.com/search/Skarm%20Kalaban
Skarm,Todo,Philippines,https://open.spotify.com/search/Skarm%20Todo
Skarm,Alon,Philippines,https://open.spotify.com/search/Skarm%20Alon
KJah,Silang Nasa Wasto,Philippines,https://open.spotify.com/search/KJah%20Silang%20Nasa%20Wasto
KJah,Tama Na,Philippines,https://open.spotify.com/search/KJah%20Tama%20Na
KJah,Panaginip,Philippines,https://open.spotify.com/search/KJah%20Panaginip
Zaito,Gisingin Ang Puso,Philippines,https://open.spotify.com/search/Zaito%20Gisingin%20Ang%20Puso
Zaito,Ikaw Lang,Philippines,https://open.spotify.com/search/Zaito%20Ikaw%20Lang
Zaito,Humanap Ka ng Panget,Philippines,https://open.spotify.com/search/Zaito%20Humanap%20Ka%20ng%20Panget
Kregga,Walang Kibo,Philippines,https://open.spotify.com/search/Kregga%20Walang%20Kibo
Kregga,Magdamag,Philippines,https://open.spotify.com/search/Kregga%20Magdamag
Kregga,Todo Bigay,Philippines,https://open.spotify.com/search/Kregga%20Todo%20Bigay
Jnske,Sadya,Philippines,https://open.spotify.com/search/Jnske%20Sadya
Jnske,Kwento,Philippines,https://open.spotify.com/search/Jnske%20Kwento
Jnske,Underrated,Philippines,https://open.spotify.com/search/Jnske%20Underrated
Poison13,Demonyo,Philippines,https://open.spotify.com/search/Poison13%20Demonyo
Poison13,Rebelasyon,Philippines,https://open.spotify.com/search/Poison13%20Rebelasyon
Poison13,Silong,Philippines,https://open.spotify.com/search/Poison13%20Silong
Target,Respeto,Philippines,https://open.spotify.com/search/Target%20Respeto
Target,Kalye,Philippines,https://open.spotify.com/search/Target%20Kalye
Target,Madilim,Philippines,https://open.spotify.com/search/Target%20Madilim
